class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
sb_writers#3-R:,0,0,0,0,0,0,0,139343,0.22,117.1,89361.63,0.64
&pipe->wr_wait:,0,0,0,0,0,0,5,9,0.13,0.78,4.17,0.46
&type->i_mutex_dir_key#3/1:,0,0,0,0,0,0,3,6,2.51,18.38,43.99,7.33
&type->i_mutex_dir_key#4-W:,0,0,0,0,0,0,1,2,1.9,23.26,25.16,12.58
&type->i_mutex_dir_key#4-R:,0,0,0,0,0,0,44,162,0.9,16.95,1183.53,7.31
&type->i_mutex_dir_key#5-R:,0,0,0,0,0,0,26,77,0.65,29.03,524.27,6.81
kernfs_open_file_mutex:,0,0,0,0,0,0,171,1301,0.19,2.98,681.92,0.52
kernfs_open_node_lock:,0,0,0,0,0,0,171,1293,0.11,1.26,258.47,0.2
iattr_mutex:,0,0,0,0,0,0,1,20,0.78,2.01,18.92,0.95
&of->mutex:,0,0,0,0,0,0,72,433,0.38,97.02,1128.72,2.61
